dates,ID,content,rt,like
2022-03-19,Aaron Levie@levie,This needs to be turned into a buddy comedy ASAP.,18,416
2022-03-21,Aaron Levie@levie,The cool thing about naming a company Box is all the interesting news articles you get in your feed.,2,131
2022-03-24,Aaron Levie@levie,Amazing quote:,9,196
2022-03-25,Aaron Levie@levie,"Some say innovation is dead, but how can that be if Twitter just rolled out the ability to search through DMs.",59,580
2022-03-29,Aaron Levie@levie,"The challenge with taxing unrealized gains is you can force selling or borrowing against assets at inopportune times, which can easily lead to systemic risk, volatility, or lack of long-term investing in the markets over time. Only bad scenarios. There must be another way.",96,1.1K
2022-03-30,Aaron Levie@levie,"Remember: customers rarely care about how novel your technology is, only what problems it solves for them. Never lose sight of that as a startup.",613,3.8K
2022-03-30,Aaron Levie@levie,It is so frustrating that a few hundred people in DC are squandering our economic future.,52,323
2022-03-31,Aaron Levie@levie,Honestly congrats to the web3 crowd for utterly confusing politicians ,142,499
2022-03-31,Aaron Levie@levie,"I have to admit, when we started Box we didn’t imagine one of the use cases would be Cardi B using it to come with receipts.",30,650
2022-04-02,Aaron Levie@levie,"Just remember: at scale, consumers will generally choose the simpler software to successfully perform the task at hand. If your technical complexity isn’t sufficiently abstracted from the user, best of luck.",128,1K
2022-04-04,Aaron Levie@levie,"Finally, the kind of internet drama we deserve https://cnn.com/2022/04/04/investing/elon-musk-twitter-stares-stake…",28,326
2022-04-04,Aaron Levie@levie,Elon Musk right now,264,5K
2022-04-05,Aaron Levie@levie,"After a few years of being in place, taxing unrealized capital gains would begin to hurt everyone: investors will prefer low growth liquid assets, or short term investments so they can sell to cover taxes. This is unequivocally bad for the economy, job creation, and innovation.",105,1.2K
2022-05-02,Aaron Levie@levie,Oh to have the self-confidence of your third most used browser asking if you’d like to make it the default browser.,45,558
2022-05-03,Aaron Levie@levie,"Sorry this took 100 years, but now every file type in Box can have an edit permission shared link. Rolling out now!",7,134
2022-05-04,Aaron Levie@levie,Looks like web2 will survive for at least another quarter.,22,669
2022-05-04,Aaron Levie@levie,How is this real life?,11,91
2022-05-06,Aaron Levie@levie,"When we started scaling Box, the best SaaS multiple you could dream of was considered to be 8X revenue.",10,151
2022-05-06,Aaron Levie@levie,"Over a long enough time arc, markets function by investors paying for the likelihood of an asset generating a certain amount of cash in the future. High valuations can temporarily be fun, but eventually the market remembers why they invest in things. Plan accordingly!",24,196
2022-05-06,Aaron Levie@levie,"What seems like a crazy market is actually an increasingly sane one. The lesson is to build businesses that don’t require hype to drive your conviction, ensure you always have money in the bank, and if possible use cash flow to fuel growth vs. unending investment rounds.",278,1.7K
2022-05-07,Aaron Levie@levie,Would love for GCP folks out there to respond with the use cases of this without using any buzzwords. https://cnbc.com/2022/05/06/googles-cloud-group-forms-web3-product-and-engineering-team.html…,10,109
2022-05-07,Aaron Levie@levie,"A subtle asymmetry between being a VC vs. being an operator is as a VC you get to place multiple bets, and as an operator you have one shot. This is why it’s vastly more important for operators to assess which trends will go mainstream than for VCs.",108,1K
2022-05-08,Aaron Levie@levie,"It’s counterintuitive but raising less money will often lead to building a better business. It forces you to have constraints, which leads to more focus and higher quality decisions, which results in better products and more sustainable business models.",437,3.1K
2022-05-10,Aaron Levie@levie,"The exact best time to launch a company is when you have a great idea that solves a super real problem for people, usually much better than how it was solved before.",93,939
2022-05-10,Aaron Levie@levie," you Mark, but no similarity",9,187
2022-05-11,Aaron Levie@levie,And *this* is precisely why you can’t tax people on unrealized capital gains.,4.1K,36K
2022-05-17,Aaron Levie@levie,Crypto is like Peter Pan. It will always be 1995 no matter what year it is.,54,703
2022-05-17,Aaron Levie@levie,Be sure to ask to be paid in Luna.,73,1.6K
2022-05-18,Aaron Levie@levie,Yeah that was never going to work,12,179
2022-05-18,Aaron Levie@levie,"How about a political party that delivers and executes a pro business, pro immigration, pro choice, universal healthcare, universal childcare, and affordable education agenda?",296,3.7K
2022-05-18,Aaron Levie@levie,Fantastic startup advice from Marc Andreessen 15 years ago.,736,4K
2022-06-13,Aaron Levie@levie,I refuse to believe Matt Damon was wrong about investing advice.,207,3.3K
2022-06-14,Aaron Levie@levie,"Tricky thing about VC-led markets and movements is the asymmetry between VC and operator. A VC can make any number of bets, and actually needs to deploy capital. They also don’t have to be close to customers, so can rely on abstractions and theories, but those don’t pay bills.",35,311
2022-06-15,Aaron Levie@levie,"The tricky thing with crypto, by combining users and investors as one, the product value prop follows the market cycle. And as a general rule, you don’t want your product to get worse for users if the market goes down, otherwise you’re just in finance.",36,403
2022-06-15,Aaron Levie@levie,JavaScript popping champagne right now,8,177
2022-06-16,Aaron Levie@levie,"The easiest way to get derailed in software is misunderstanding the customer’s actual problem and then build the wrong solution. Deeply focusing on what a customer is trying to accomplish, and building a far better, faster, or cheaper solution to the problem is fundamental.",82,584
2022-06-16,Aaron Levie@levie,This answer isn’t an anomaly. Web3 solutions make you go in circles mentally because its value proposition is decentralization which doesn’t “inherently” improve most use-cases.,45,487
2022-06-17,Aaron Levie@levie,What works better for you?,15,58
2022-06-18,Aaron Levie@levie,"Simple math: Web3 needs new money coming in to not just be shuffling around dollars within itself. If new money stops coming in, things start to collapse. This is why always good to focus on positive sum games.",76,794
2022-06-18,Aaron Levie@levie,"The reason why it’s important to look at web3 flaws in a down market is because the flaws don’t seem as believable in an up market. In an upmarket if you buy a token and tell a friend to join a network, everyone’s happy. In a down market, it’s very hard for the network to spread.",35,416
2022-06-19,Aaron Levie@levie,These are the problems entrepreneurial energy and $ should be going toward.,32,501
2022-06-20,Aaron Levie@levie,"The crypto paradox is it’s traded and discussed like a stock, but web3 proponents want it adopted like a utility. You just can’t have it both ways. The price of the underlying asset can’t fluctuate if customers are supposed to use it for predictable use-cases.",148,1.4K
2022-06-21,Aaron Levie@levie,DALL-E is wild. Statue of Benjamin Franklin Talking on an iPhone.,134,1.8K
2022-06-21,Aaron Levie@levie,The tech industry is a printing press for buzzwords. But the only thing that always matters is customers and building better solutions to their problems. Just focus on that.,85,581
