dates,ID,content,rt,like
2022-05-04,Carl Icahn@Carl_C_Icahn,Read our presentation on the opportunity $MCD has to be a leader in the ESG movement. Our campaign can be an inflection point for sweeping change and a moment for shareholders to back up ESG platitudes with real action. https://bit.ly/MCDinvestorpresentation…,21,97
2022-05-04,Carl Icahn@Carl_C_Icahn,".@McDonaldsCorp’s Board must be held accountable for its significant ESG missteps, just as boards should be held accountable for financial underperformance. $MCD must make good on its +10 year promise. The only way to accomplish that is adding new perspectives to the boardroom.",39,151
2022-05-07,Carl Icahn@Carl_C_Icahn,Read our letter to stockholders of $SWX here: https://carlicahn.com/open-letter-to-southwest-gas-stockholders-16/…,28,122
2022-06-06,Carl Icahn@Carl_C_Icahn,"My proxy fights at McDonald's & Kroger differed from most companies I target as an activist b/c both are performing well, financially. The issue of a lack of accountability remains the same however (in this case, treatment of workers & animals). Read more: https://carlicahn.com/statement-to-shareholders-of-mcdonalds-and-kroger/…",60,364
2022-09-21,Carl Icahn@Carl_C_Icahn,Looking forward to speaking with @nathanvardi during @MarketWatch's “Best New Ideas in Money Festival” today at 3:55pmET. Sign up with code [ICAHN100] at checkout for a complimentary virtual pass. https://on.mktw.net/3BwMmw4 #MWMoneyFestival,8,109
2022-11-10,Carl Icahn@Carl_C_Icahn,I will be speaking with @ScottWapnerCNBC on @CNBCOvertime today at 4 pm ET.,135,803
2023-03-13,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc/…,51,236
2023-03-13,Carl Icahn@Carl_C_Icahn,I will be speaking with Neil Cavuto @TeamCavuto on @FoxNews today at 4:15 ET,69,409
2023-03-14,Carl Icahn@Carl_C_Icahn,I will be speaking with @ScottWapnerCNBC on @CNBCClosingBell today at 3 pm ET.,52,285
2023-03-15,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/icahn-responds-to-illuminas-obfuscations/…,34,144
2023-03-24,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/icahn-to-commence-investigation-into-value-destruction-by-illuminas-board/…,36,181
2023-03-30,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/icahn-responds-to-illuminas-obfuscations-2/…,21,125
2023-04-03,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-2/…,23,166
2023-04-05,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-3/…,18,123
2023-04-11,Carl Icahn@Carl_C_Icahn,Read our presentation $ILMN – Case for Change (including other important information) here: https://bit.ly/3ZZoQlu,25,127
2023-04-21,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-4/…,20,105
2023-04-24,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-5/…,16,146
2023-04-28,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-6/…,15,131
2023-04-28,Carl Icahn@Carl_C_Icahn,"Check out our interview on “Close to the Edge” – Case for Change at Illumina: https://genengnews.com/topics/omics/carl-icahn-states-his-case-for-change-at-illumina-on-close-to-the-edge/…

SECURITY HOLDERS ARE ADVISED TO READ THE PROXY STATEMENT AND OTHER DOCUMENTS RELATED TO THE SOLICITATION OF PROXIES BY CARL C. ICAHN AND HIs affiliates FROM THE STOCKHOLDERS OF…",102,446
2023-05-01,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-7/…,32,163
2023-05-04,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-8/…,28,174
2023-05-08,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-9/…,22,134
2023-05-11,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-10/…,22,126
2023-05-15,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-11/…,16,119
2023-05-19,Carl Icahn@Carl_C_Icahn,Read our open letter to $ILMN shareholders (including other important information) here: https://carlicahn.com/open-letter-to-shareholders-of-illumina-inc-12/…,15,136
2023-05-25,Carl Icahn@Carl_C_Icahn,"Thank you to all of the Illumina shareholders that voted for me. I look forward to serving on behalf of all shareholders and stakeholders. I am happy to say that activism is alive and well at Icahn. - Andrew Teno, Icahn Capital",130,1K
2023-06-11,Carl Icahn@Carl_C_Icahn,"I am happy to see all of the recent events occurring at Illumina. While obviously I believe the change of CEO should have come meaningfully sooner, it is still a very positive occurrence. The new additions to the board, the CEO transition, as well as the change of the Chairman,…",82,618
2023-09-07,Carl Icahn@Carl_C_Icahn,"I spoke to Illumina’s new CEO, Jacob Thaysen. I think he will do an excellent job and he has my full support.",88,1K
