dates,ID,content,rt,like
2023-11-18,Elon Musk@elonmusk,Starship launch live broadcast,10K,56K
2023-11-18,Elon Musk@elonmusk,Congratulations team @SpaceX team!,19K,180K
2023-11-18,Elon Musk@elonmusk,Accurate real-time Starship flight summary from Grok!,5.1K,46K
2023-11-18,Elon Musk@elonmusk,Starship launch control,8.8K,150K
2023-11-18,Elon Musk@elonmusk,HOT staging! Check it and see … ,8.2K,95K
2023-11-18,Elon Musk@elonmusk,Magnificent Machine with a 1000 ft plume,22K,187K
2023-11-19,Elon Musk@elonmusk,"For the first time, there is a rocket that can make all life multiplanetary.

A fork in the road of human destiny.",35K,368K
2023-11-19,Elon Musk@elonmusk,𝕏 Corp investors will own 25% of xAI,8.9K,103K
2023-11-19,Elon Musk@elonmusk,"If you want maximum global reach, use this platform",13K,93K
2023-11-22,Elon Musk@elonmusk,"All design & engineering of the original @Tesla Roadster is now fully open source.

Whatever we have, you now have.",11K,84K
2023-11-22,Elon Musk@elonmusk,"If you want to try a Tesla for a few days, you can rent one @Hertz",6.6K,62K
2023-11-22,Elon Musk@elonmusk,Cybertrucks are on their way to Tesla stores in North America!,16K,153K
2023-11-23,Elon Musk@elonmusk,Extremely concerning!,4.1K,16K
2023-11-23,Elon Musk@elonmusk,Guess we’re not dead yet ,33K,336K
2023-11-23,Elon Musk@elonmusk,"It’s not me, it’s the RNG",4.3K,63K
2023-11-23,Elon Musk@elonmusk,Grok,3.1K,26K
2023-11-23,Elon Musk@elonmusk,Q*Anon,7.5K,25K
2023-11-23,Elon Musk@elonmusk,"In an upcoming release, 𝕏 will overlay title in the upper potion of the image of a URL card",5.6K,58K
2023-11-23,Elon Musk@elonmusk,Starship stage separation,9.7K,98K
2023-11-23,Elon Musk@elonmusk,Also check their Highlights section,2.2K,18K
2023-11-23,Elon Musk@elonmusk,met a meta metameme?,8.8K,64K
2023-11-23,Elon Musk@elonmusk,Big companies steadily increase their Dilbert score over time like entropy,11K,100K
2023-11-23,Elon Musk@elonmusk,,8K,61K
2023-11-28,Elon Musk@elonmusk,Another @CommunityNotes hall-of-famer ,6.8K,65K
2023-11-28,Elon Musk@elonmusk,And another @CommunityNotes win exposing deception,29K,290K
2023-11-28,Elon Musk@elonmusk,SpaceX Falcon rocket just launched,6.5K,41K
2023-11-28,Elon Musk@elonmusk,Amazing lmaooo,10K,75K
2023-11-28,Elon Musk@elonmusk,"What say you, big brands?",24K,150K
2023-11-28,Elon Musk@elonmusk,𝕏 Troll Training Treasure Trove 𝕏,6.9K,66K
2023-11-28,Elon Musk@elonmusk,"Wow, this is wild!",47K,155K
2023-11-28,Elon Musk@elonmusk,Cybertruck deliveries start on Thursday,18K,168K
2023-11-30,Elon Musk@elonmusk,Precisely,37K,169K
2023-12-03,Elon Musk@elonmusk,251,4.8K,44K
2023-12-03,Elon Musk@elonmusk,"Good summary!

Note, Grok access is being opened up slowly to premium+ users over the coming week or so, prioritized by when they signed.",4.8K,29K
2023-12-03,Elon Musk@elonmusk,,4.4K,31K
2023-12-03,Elon Musk@elonmusk,We are microbes on a dust mote in a vast emptiness overwhelming dominated by the sun,19K,137K
2023-12-03,Elon Musk@elonmusk,Human civilization is still a tiny startup in the grand scheme of things,13K,115K
2023-12-03,Elon Musk@elonmusk,It vexes me that we are still a puny one planet civilization!,10K,92K
2023-12-03,Elon Musk@elonmusk,Grow food yourself?,21K,182K
2023-12-04,Elon Musk@elonmusk,What words should be applied to this meme that best capture the zeitgeist?,3.4K,20K
2023-12-04,Elon Musk@elonmusk,"Grok, what’s your favorite sports team?",6K,36K
2023-12-04,Elon Musk@elonmusk,Bob Eiger thinks it’s cool to advertise next to child exploitation material. Real stand up guy.,28K,135K
2023-12-07,Elon Musk@elonmusk,,6.4K,60K
2023-12-07,Elon Musk@elonmusk,"Why no advertiser boycott, Bob Eiger? You are endorsing this material!",42K,182K
2023-12-07,Elon Musk@elonmusk,Congratulations on the award! Well-deserved.,25K,199K
2023-12-07,Elon Musk@elonmusk,Starlink now in Honduras!,4.4K,32K
2023-12-07,Elon Musk@elonmusk,"Yeah, why do their Chief Marketing Officers endorse child trafficking!?

Let’s ask them.",26K,109K
