dates,ID,content,rt,like
2022-07-04,John Legere@JohnLegere,The stock market is indeed closed today. Happy 4th of July!,1,42
2022-07-04,John Legere@JohnLegere,This is so cool — exercising with Immersive Virtual Reality (IVR) can have the same effects as physical exercise! Who says video games aren’t good for you?,7,33
2022-07-04,John Legere@JohnLegere,Warning: Be careful if you’re shopping on TikTok!,6,26
2022-07-12,John Legere@JohnLegere,"Prime Day on @amazon is here! If you’re looking for great tech deals, don’t miss out. What devices have you been eyeing?",2,23
2022-07-12,John Legere@JohnLegere,"The world paid respect to Shinzo Abe, Japan's longest-serving prime minister today. Truly unthinkable loss for the country — he will be sorely missed.
https://cnn.com/2022/07/12/asia/shinzo-abe-funeral-japan-tuesday-intl-hnk/index.html…",12,60
2022-07-12,John Legere@JohnLegere,Crypto winter isn’t stopping GameStop! They’re moving forward with a “public beta” marketplace for NFTs. Are you ready to dive deeper into the NFT world?,5,39
2022-07-13,John Legere@JohnLegere,Let’s go from NYC to upstate #LakeLife ….Hold on tight!,6,65
2022-07-13,John Legere@JohnLegere,"June data shows inflation continuing to rise, reaching a 4-DECADE peak at 9.1%!!! Think there’s any signs of slowing down? Let’s hope so!",4,29
2022-07-13,John Legere@JohnLegere,"Twitter and Elon continue to battle it out! Who thinks we’ll see this play out in court?
https://cnn.com/2022/07/12/tech/twitter-elon-musk-acquisition-lawsuit/index.html…",5,35
2022-07-13,John Legere@JohnLegere,"Technology being used for the greater good!! @WaymapOrg is making it easier to navigate transit systems for the bllind and visually impaired. It’s available in Washington, DC - which city is next??",5,29
2022-07-14,John Legere@JohnLegere,"Who’s watching the Open Championship!? Round 1 started today in St. Andrews, Scotland. Rooting for anyone?",4,31
2022-07-14,John Legere@JohnLegere,"Huge News! Prime Day may be over but @amazon has huge initiatives on the horizon. In collaboration with Fred Hutchinson Research Center, they’ll be testing clinical trials for an anti-cancer vaccine!",6,65
2022-07-14,John Legere@JohnLegere,"No, you can’t download music (illegally) again, but you can purchase music NFTs. LimeWire is back! Remember them? Still TBD if NFTs will stop downloading halfway through!",6,70
2022-07-22,John Legere@JohnLegere,How did you start your day? #CoffeeOnTheLake was my start and it was great!! #FridayFeeling #HappyFriday,4,108
2022-07-23,John Legere@JohnLegere,"Polio is back?? Let’s hope not - before this week, there hadn't been a case since 1979!",14,63
2022-07-23,John Legere@JohnLegere,"With melting roads and traffic stops, the UK is the hottest it’s EVER been. I can’t believe how intense this heat is getting!!",4,33
2022-07-23,John Legere@JohnLegere,"Wake up at Lake, coffee on Lake, then get on the Lake, then Jump in Lake to cool off! #HotHotHot #GoJumpInALake",4,132
2022-07-23,John Legere@JohnLegere,These classics shouldn’t be touched! Ever had a favorite movie get ruined by a remake?,5,60
2022-07-24,John Legere@JohnLegere,True-crime lovers! Who’s been watching ‘Mind over Murder’? Spoiler alert if you click!,,19
2022-07-24,John Legere@JohnLegere,"Anything to stay cool, I guess! Would you try watermelon pizza?",8,41
2022-07-24,John Legere@JohnLegere,Almost back to school already?! Any must-have items on your list this year? Asking for a friend … ,37,171
2022-07-25,John Legere@JohnLegere,"TEACHERS! I am SO EXCITED to announce that #JohnClearMyList is back! Throughout August, I’ll be clearing the school supply lists of hard-working educators across the U.S. Rules to enter in the thread! ",537,1.3K
2022-07-25,John Legere@JohnLegere,"Thousands are being forced to evacuate Mariposa County, California due to an uncontrolled wildfire! Praying for everyone’s safety!",4,45
2022-07-25,John Legere@JohnLegere,Monkeypox is officially a global health concern!! How are you taking precautions?,5,35
2022-07-26,John Legere@JohnLegere,I bet you can’t get through this article without smiling! Let’s continue to have a good week!,6,43
2022-08-03,John Legere@JohnLegere,"We're halfway through the first week of #JohnClearMyList!!! Congratulations @MrsBietler - 1st Grade Teacher in Detroit, Michigan - and @TreeAXO - High School English Teacher in Lewisville, NC. Your lists are getting cleared today!",23,310
2022-08-03,John Legere@JohnLegere,"Tiffany Blue NFTs? The jeweler teamed up with CryptoPunks to launch “NFTiff”, turning your NFT into a bespoke pendant. Not sure if I should let my daughters see this!",1,31
2022-08-04,John Legere@JohnLegere,"Gas prices may be lower, but drivers are staying off the road now even more than they were at the beginning of the pandemic! How are you getting around these days?",8,35
2022-08-04,John Legere@JohnLegere,"Uh oh, spending all this time talking about schools is bringing me back to my @LEGO_Group days! How do I look??",4,116
2022-08-04,John Legere@JohnLegere,"It’s that time!!! I am clearing more school supply lists today for #JohnClearMyList! Congratulations @BrittanyE_Burke - High School American Sign Language Teacher in Fairfax, Virginia - and @Mrs_FKDreher - 3rd Grade STEMS teacher in Columbia, South Carolina.",24,258
2022-08-04,John Legere@JohnLegere,TicketTok? @TicketMaster and @tiktok partner up to allow users to purchase concert tickets through videos on the app! Going to any shows soon?,3,14
2022-08-04,John Legere@JohnLegere,A #ThrowbackThursday for sure! Remember these discontinued gems? Any other favorites missing from this list?,2,33
2022-08-05,John Legere@JohnLegere,"Federal charges have now been filed against the officers in Breonna Taylor’s death! Happy to see this step towards justice. 
https://cnn.com/2022/08/04/us/breonna-taylor-federal-charges/index.html…",5,87
2022-08-05,John Legere@JohnLegere,Own a Roomba vacuum?? @amazon acquired the robot vacuums in a huge deal!!,3,30
2022-08-05,John Legere@JohnLegere,Traveling soon? These stories will make you think twice before you book your next stay!,2,12
2022-08-05,John Legere@JohnLegere,#JohnClearMyList Week 1 Recap!,27,209
2022-08-12,John Legere@JohnLegere,"We’ve reached the end of Week 2 for #JohnClearMyList! Let’s clear more lists! @midstar01, 4th-5th Grade Teacher in Portland, Oregan, and @BoedeckerKellie, Principal in Helena, Montana. Congratulations - I’m clearing your lists!",11,245
2022-08-12,John Legere@JohnLegere,What’s your #FridayFeeling?? Drop an emoji below!,8,181
2022-08-12,John Legere@JohnLegere,"Looks like one of the driest places in the country…is no longer dry. Visiting California soon? You may need a pair of good rain boots. 
https://theguardian.com/us-news/2022/aug/10/death-valley-floods-climate-crisis…",13,53
2022-08-13,John Legere@JohnLegere,Lots of changes happening at @onepeloton! Will you be biking or still hitting the pavement?,3,20
2022-08-13,John Legere@JohnLegere,An incredible #UpandComingArtist made me this amazing portrait that has so many hidden special messages and stories…. Thank you  to @christinalegere …(also known as my daughter Christina!!!) #LegerePortrait #PricelessArt,7,59
2022-08-13,John Legere@JohnLegere,A new step into the future. Thoughts on humanoid robots?,7,29
2022-08-13,John Legere@JohnLegere,More subscription services are looking like online cable. What do you think about Netflix and Disney+ adding advertising?,7,40
2022-08-14,John Legere@JohnLegere,Hate assembling IKEA furniture? Robots are on the way!,4,48
2022-08-14,John Legere@JohnLegere,Looks like we have some “rocky” skies this weekend. Who’s keeping an eye out for these asteroids??,7,26
