dates,ID,content,rt,like
2023년 5월 15일,Bill Gates@BillGates,My message to the class of 2023.,458,1.9천
2023년 5월 12일,Bill Gates@BillGates,"Ric was employee number 2 at Microsoft and a dear friend. He was also a tireless philanthropist, an advocate for LGBTQ+ rights and HIV/AIDS research, and an inspiration to me and so many others. His story is worth a watch:",282,1.3천
2023년 5월 12일,Bill Gates@BillGates,Building a clean energy future will require a lot of new wires—the U.S. will need to grow the grid by almost two-thirds its current size in the next decade.,375,1.5천
2023년 5월 12일,Bill Gates@BillGates,"It’s possible to build nuclear reactors without enormous costs—to our environment, our economy, or our health. This article details how it can be done to increase clean energy infrastructure. https://b-gat.es/3O07Jh4",445,1.8천
2023년 5월 11일,Bill Gates@BillGates,"I had the best day in Kemmerer, Wyoming. Over a coal plant tour, a site visit of the future Natrium plant, burgers, ice cream, and coffee, I got excited about the clean energy transition and the promise of next-generation nuclear: https://gatesnot.es/42OEhyZ",327,2.1천
2023년 5월 11일,Bill Gates@BillGates,Expanding access to single-dose HPV vaccines could save 45 million lives worldwide over the next 100 years. This is a great example of why I’m optimistic about the future of global health.,323,1.3천
2023년 5월 10일,Bill Gates@BillGates,"I’m very encouraged by the E-MOTIVE Trial results released today at #IMNHC2023 to treat postpartum hemorrhage, the #1 cause of maternal mortality. This new approach led by @unibirmingham and @WHO could drastically improve women’s chances of surviving childbirth globally.…",355,1.3천
2023년 5월 10일,Bill Gates@BillGates,"By prioritizing accessibility, affordability, and economic mobility, @NAU is redefining—and increasing—the value of a college degree. I can’t wait to visit the school this weekend and see the incredible work they’re doing up close.",223,1천
2023년 5월 9일,Bill Gates@BillGates,"Eradicating smallpox was hard, but it was also one of the most important achievements in human history. That makes it worth celebrating—and learning from.",297,1.7천
2023년 5월 9일,Bill Gates@BillGates,"Nuclear energy, if we do it right, will help us solve our climate goals. Thanks for the great conversation, @rebeccajarvis. https://b-gat.es/3LIlz55",528,2.8천
2023년 5월 8일,Bill Gates@BillGates,"Aside from water, there’s no material on Earth we use more than concrete. That’s why it’s so important to figure out how to decarbonize it.",463,2.5천
2023년 5월 6일,Bill Gates@BillGates,"This next-generation nuclear facility will be a win for the local economy, America’s energy independence, and the fight against climate change.",506,2.3천
2023년 5월 6일,Bill Gates@BillGates,"On International Day of the Midwife, I’m thinking about Eva Nangalo—a tireless advocate for mothers and babies and the next generation of trained #midwives in Uganda. #IDM2023",213,1.3천
2023년 5월 4일,Bill Gates@BillGates,"When I first met @dsengeh in 2011, I was blown away by his intellect, his ambition, and his sense of humor. His new book is a must-read for anyone who wants to help create a truly inclusive world.",263,1.2천
2023년 3월 30일,Bill Gates@BillGates,"I recently had the chance to test drive—or test ride, I guess—one of @wayve_ai’s autonomous vehicles. It was a pretty wild ride: https://gatesnot.es/3TRF3ru",774,3.3천
2023년 3월 29일,Bill Gates@BillGates,"I had the honor of working with Gordon Moore in his capacities as a technologist, businessman, and philanthropist. The life he led and legacy he leaves behind will continue to inspire me and millions of others: https://gatesnot.es/3LZhZ8w",362,2.1천
2023년 3월 27일,Bill Gates@BillGates,"Superintelligent AIs are in our future. Compared to a computer, our brains operate at a snail’s pace. An electrical signal in the brain moves at ___________ the speed of the signal in a silicon chip. Check your answer here: https://gatesnot.es/3lCAy7P",2.8천,4.2천
2023년 3월 27일,Bill Gates@BillGates,"More than a century before computers were even invented, Ada Lovelace became the world’s first computer programmer. https://b-gat.es/3TOApe6",500,2.6천
