dates,ID,content,rt,like
2022년 8월 31일,Elon Musk@elonmusk,Spent the day walking entire Giga Berlin production line – team is doing excellent work!,5.1천,10만
2022년 8월 31일,Elon Musk@elonmusk,Kickass Internet connection coming Royal Caribbean ships soon!,4.8천,6.2만
2022년 8월 29일,Elon Musk@elonmusk,This will happen again – just a matter of time,5.4천,5만
2022년 8월 29일,Elon Musk@elonmusk,Godspeed Artemis!,4.2천,4.8만
2022년 8월 29일,Elon Musk@elonmusk,"From time to time, I will share some things that seem to be working for me, in case you find it helpful",1.2만,19만
2022년 8월 29일,Elon Musk@elonmusk,"On advice of a good friend, I’ve been fasting periodically & feel healthier",1.4만,18만
2022년 8월 28일,Elon Musk@elonmusk,Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster & fairing reusable!,2.3천,3.3만
2022년 8월 27일,Elon Musk@elonmusk,Countries should be increasing nuclear power generation! It is insane from a national security standpoint & bad for the environment to shut them down.,3.5만,28만
2022년 8월 26일,Elon Musk@elonmusk,Population collapse due to low birth rates is a much bigger risk to civilization than global warming,5.3만,33만
2022년 8월 26일,Elon Musk@elonmusk,"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide",2.1만,18만
2022년 8월 26일,Elon Musk@elonmusk,Livestream of big news in about an hour,2.3천,2.4만
2022년 8월 25일,Elon Musk@elonmusk,This is something special,4.1천,4만
2022년 8월 24일,Elon Musk@elonmusk,The course of civilization is not always upward,3천,3.1만
2022년 8월 24일,Elon Musk@elonmusk,Mechazilla loads Starship on launchpad,1만,15만
2022년 8월 22일,Elon Musk@elonmusk,Neuralink progress update show & tell on October 31 st (Halloween),6.8천,8.7만
2022년 8월 22일,Elon Musk@elonmusk,"2 main goals this year: 

- Starship to orbit
- FSD wide release

Many other things, of course, but those are the 2 giant kahunas. Will require insane work by many super talented people, but, if anyone can do it, they can. 

It is an honor to work with such awesome human beings.",6.1천,7.2만
2022년 8월 22일,Elon Musk@elonmusk,,1.6만,44만
2022년 8월 7일,Elon Musk@elonmusk,FSD Beta 10.69 drops on 8/20,4.6천,6.3만
2022년 8월 7일,Elon Musk@elonmusk,Saxon James Musk,3.4천,3.7만
2022년 8월 7일,Elon Musk@elonmusk,Less than 5% of Twitter daily users are fake/spam,7.1천,6.2만
2022년 8월 6일,Elon Musk@elonmusk,Moving rocket to launch pad,8.8천,13만
2022년 8월 6일,Elon Musk@elonmusk,Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines,3.7천,6.2만
2022년 8월 6일,Elon Musk@elonmusk,Full Send Podcast,4.4천,4.1만
2022년 8월 5일,Elon Musk@elonmusk,Thank goodness for Senator Manchin,4.9천,8.5만
2022년 8월 3일,Elon Musk@elonmusk,The ratio of digital to biological compute is growing fast. Worth tracking.,6.4천,9.4만
2022년 8월 3일,Elon Musk@elonmusk,Just came across this pretty good CNBC piece on SpaceX & Starship,2.8천,2.8만
2022년 8월 2일,Elon Musk@elonmusk,Worth reading. This is a close match for my philosophy.,4.7천,4.3만
2022년 8월 2일,Elon Musk@elonmusk,Still time to vote!,1.9천,2.5만
2022년 8월 1일,Elon Musk@elonmusk,"If our reality is actually an alien soap opera, our ratings would be ",1만,14만
2022년 7월 31일,Elon Musk@elonmusk,Maybe free some people in jail for weed here too?,4.3만,36만
2022년 7월 31일,Elon Musk@elonmusk,Off to the Races set to Harley Quinn,3.4천,2.8만
2022년 7월 20일,Elon Musk@elonmusk,One of the best features of Model X,7.6천,10만
2022년 7월 20일,Elon Musk@elonmusk,Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!,6천,10만
2022년 7월 19일,Elon Musk@elonmusk,Please vote your shares with Tesla!,2.8천,3.1만
2022년 7월 15일,Elon Musk@elonmusk,"Tesla is to protect life on Earth,
SpaceX to extend life beyond.",2만,21만
2022년 7월 15일,Elon Musk@elonmusk,"Mars may be a fixer upper of a planet, but it has great potential!",1만,13만
2022년 7월 15일,Elon Musk@elonmusk,Dragon launching in 2 mins,3.7천,4.7만
2022년 7월 14일,Elon Musk@elonmusk,A+ for cinematography,5.3만,46만
2022년 7월 13일,Elon Musk@elonmusk,Starship launch site tonight,6.1천,10만
2022년 7월 13일,Elon Musk@elonmusk,Excited about @NASAWebb potential!,4.6천,8.9만
2022년 7월 13일,Elon Musk@elonmusk,Oh the irony lol,1.2만,21만
2022년 7월 12일,Elon Musk@elonmusk,"Tesla’s automatic cabin overheat protection should make a real difference with record heatwaves.

Ability to adjust activation temperature coming with next software release.",4.5천,7.4만
2022년 6월 21일,Elon Musk@elonmusk,AI gets better every day,1.4만,13만
2022년 6월 21일,Elon Musk@elonmusk,What … is your favorite cheese?,1.7만,17만
2022년 6월 19일,Elon Musk@elonmusk,I will keep supporting Dogecoin,3.9만,36만
2022년 6월 19일,Elon Musk@elonmusk, shadow crew ,4.7천,8.3만
2022년 6월 19일,Elon Musk@elonmusk,Happy Father’s Day,2.9만,40만
2022년 6월 19일,Elon Musk@elonmusk,Congrats to SpaceX Falcon team for executing 3 flawless launches in 2 days!,4천,5.4만
2022년 6월 19일,Elon Musk@elonmusk,We’re changing Starlink’s default wifi name to Stinky,8.5천,14만
2022년 6월 19일,Elon Musk@elonmusk,"This is where 
the writers are,

Of past,
Present,
And Future.",7.1천,8.3만
2022년 6월 19일,Elon Musk@elonmusk,Feels like déjà vu all over again haha,3.1천,4.5만
2022년 6월 18일,Elon Musk@elonmusk,Congratulations to Giga Berlin team on making over 1000 cars in a week!,5.9천,9.8만
2022년 6월 18일,Elon Musk@elonmusk,"Watch the opening scene of Idiocracy. 

When I ask my friends why they’re not yet having kids (very few are), it sounds exactly like the movie.",9.9천,7.3만
2022년 6월 18일,Elon Musk@elonmusk,Is TikTok destroying civilization? Some people think so.,4만,40만
2022년 6월 18일,Elon Musk@elonmusk,"Our best landing video to date, thanks to Starlink!",1만,12만
2022년 6월 16일,Elon Musk@elonmusk,"I’m dressing as a sink on Halloween, as they will have no choice but to let me in",1만,15만
2022년 6월 16일,Elon Musk@elonmusk,Original Top Gun is a great movie. Just rewatched. Looking forward to seeing the sequel.,1.2만,23만
2022년 6월 15일,Elon Musk@elonmusk,Starship SN24 in the High Bay,9.7천,14만
