dates,ID,content,rt,like
2022년 6월 7일,John Legere@JohnLegere,"Such a beautiful story, perfect to brighten up your Monday!",5,61
2022년 6월 6일,John Legere@JohnLegere,"Headaches are the worst. If aspirin doesn't do the trick, maybe one of these might? What's your headache remedy of choice?",3,34
2022년 6월 6일,John Legere@JohnLegere,Great day for me and Daughter to do an #8Mile #DayAfterBirthDay Run … picture one is a pose near start and picture number 2 is 5 mins later.. #IGotDropped,5,113
2022년 6월 6일,John Legere@JohnLegere,Nextdoor vs Facebook Marketplace. Which one is your go-to?,3,16
2022년 6월 5일,John Legere@JohnLegere,It’s a new week. Make sure you find joy in everything you do.,1,17
2022년 6월 5일,John Legere@JohnLegere,Happy Birthday to me! …#HappyBirthdayToMe,15,453
2022년 6월 5일,John Legere@JohnLegere,Every parent’s worst nightmare. This dad saved the day!,3,35
2022년 6월 5일,John Legere@JohnLegere,Happy Birthday to me  … Thank you Christina for the great Reel showing the 25 versions of me over the years! It’s full of  and made my day!,7,127
2022년 6월 5일,John Legere@JohnLegere,Has anyone else wondered why crypto logos all look so similar?,3,12
2022년 6월 4일,John Legere@JohnLegere,3D printing is changing the game when it comes to transplants and medical care!,11,58
2022년 6월 4일,John Legere@JohnLegere,"Great day for golf, according to “Drs orders to be on Greens” and now sunset before my birthday  ",5,116
2022년 6월 4일,John Legere@JohnLegere,Do we even need stoves anymore? All the best meals can be cooked in an air fryer.,8,54
2022년 6월 4일,John Legere@JohnLegere,Summer is around the corner — don’t let a sunburn put you in the hospital!,4,29
2022년 5월 26일,John Legere@JohnLegere,What do you think it’s like to drive the Google Maps car?,5,28
2022년 5월 26일,John Legere@JohnLegere,Join me in my Space!,5,17
2022년 5월 26일,John Legere@JohnLegere,"Today at 12:30 PM, it's another episode of Lunch Box Thoughts with John! We're talking about all things Current Events. With everything happening across the US and globally, it's important to stay informed with the facts.  

Set your alarms and have your lunch ready at 12:30 PM.",5,26
2022년 5월 25일,John Legere@JohnLegere,Does cutting your sponges really help in this situation? You still have the same amount of sponge!,2,17
2022년 5월 25일,John Legere@JohnLegere,Who else wanted to make rugs during the peak of COVID-19?,3,14
2022년 5월 24일,John Legere@JohnLegere,"I always prefer the outdoors for my #runrunrun, but what do you think of the Mirror?",4,24
2022년 5월 24일,John Legere@JohnLegere,Sand on your lawn? I’ll try it!,3,21
2022년 5월 24일,John Legere@JohnLegere,I guess it’s time for some new players on team SNL. Do you have a favorite sketch?,2,24
2022년 5월 23일,John Legere@JohnLegere,I’d rather see these than smoke stacks any day of the week!,13,164
2022년 5월 23일,John Legere@JohnLegere,Does anyone else have trouble remembering their passwords?! This can be so frustrating.,5,34
2022년 5월 23일,John Legere@JohnLegere,"Hey Siri, play “Burnin’ Up” by the Jonas Brothers.",1,25
2022년 5월 22일,John Legere@JohnLegere,Would you take a ride over London in this?,10,69
2022년 5월 22일,John Legere@JohnLegere,Look forward to an update on this!,3,45
2022년 5월 22일,John Legere@JohnLegere,"We have a new most-talked about Harry! Move over, Potter & Prince, welcome Harry Styles.",1,38
2022년 5월 21일,John Legere@JohnLegere,TikTok is ready to take the gaming industry by storm.,8,26
2022년 5월 21일,John Legere@JohnLegere,Which of these would be at the top of your list?,2,17
2022년 5월 20일,John Legere@JohnLegere,"What a great campaign by @Hinge, especially during #MentalHealthAwarenessMonth",7,28
2022년 5월 14일,John Legere@JohnLegere,I see a cook-off in my future! Who wants to come?,4,38
2022년 5월 14일,John Legere@JohnLegere,"I won’t lie, it was a little crazy.",4,23
2022년 5월 13일,John Legere@JohnLegere,I can never resist finding a new spot to visit. Do you have an underrated vacation spot you love?,5,37
2022년 5월 13일,John Legere@JohnLegere,I’ve said it once and I will say it again. Legos aren’t just for kids!,11,101
2022년 5월 13일,John Legere@JohnLegere,"You probably won’t find me in a cave, but to each their own!",6,48
2022년 5월 12일,John Legere@JohnLegere,This is the best kind of space toy!,5,45
2022년 5월 12일,John Legere@JohnLegere,"Love to see Boston at #5, where do you want to visit this summer?
https://buzzfeed.com/hannahloewentheil/united-states-destinations-that-feel-european?origin=web-hf…\",2,20
2022년 5월 12일,John Legere@JohnLegere,"It only took 15 versions of the iPhone, but Apple’s finally giving us USB-Cs in 2023!",27,136
2022년 5월 12일,John Legere@JohnLegere,Join me in my Space!,1,10
2022년 5월 11일,John Legere@JohnLegere,"Today on Lunchbox Thoughts with John, I've got my eye on market performance, these insane gas prices, and Madonna's newest NFT adventure. Tune in Be ready to chat, discuss, and listen! Tune into Twitter Spaces today at 12PM ET.",4,25
2022년 5월 11일,John Legere@JohnLegere,Which method do you use to clean your wine glasses?,3,25
2022년 5월 11일,John Legere@JohnLegere,Did you know it’s #MentalHealthAwarenessMonth? Tune into @naomiosaka's breathwork video and take some time for yourself today!,7,39
2022년 5월 11일,John Legere@JohnLegere,Cook a meal in this kitchen? I could barely fit in it!,2,16
2022년 5월 10일,John Legere@JohnLegere,Hey @elonmusk does anyone @Twitter o advertise as much as I do?? #ITwitter #MakeItEvenBetter,7,140
2022년 5월 3일,John Legere@JohnLegere,"Forget gas fees for your car, have you seen them for buying NFTs?",3,28
2022년 5월 2일,John Legere@JohnLegere,MAY DAY MAY DAY! Spring’s here! Did you know about all the meanings today has?,5,31
2022년 5월 2일,John Legere@JohnLegere,Going to keep this in mind on Cinco de Mayo … anyone else have tips?,3,25
2022년 5월 2일,John Legere@JohnLegere,Today is the FINAL day to apply for #LegereLegends! I cannot wait to review all your submissions - make sure to have everything in by 5PM ET!,4,37
2022년 5월 2일,John Legere@JohnLegere,Now THAT’S a cool job.,4,45
2022년 5월 2일,John Legere@JohnLegere,One hour to remind me I’m not in charge and to pray for peace #PrayforPeace #PrayForUkraine,10,151
