dates,ID,content,rt,like
1월 28일,Tim Cook@tim_cook,"At Apple, we believe that privacy is a fundamental right and at the core of what we do. That’s why we build privacy protections into everything from Safari to the Health app. For us, #DataPrivacyDay is every day.",1.1천,1.1만
1월 25일,Tim Cook@tim_cook,"Mac changed everything when it was introduced 40 years ago, and through the years it has done so again and again and again. Today’s Mac lineup is the best in the history of the personal computer, and it’s built on decades of revolutionary innovation. Happy birthday Mac!",6.3천,3.5만
1월 19일,Tim Cook@tim_cook,Apple Vision Pro pre-orders begin today! We’re so excited for you to experience spatial computing for the first time!  https://apple.co/applevisionpro,8.7천,4.3만
1월 16일,Tim Cook@tim_cook,"Dr. King wrote that “because of our involvement in humanity we must be concerned about every human being.” Today, we celebrate his life, honor his legacy, and aspire to walk in his footsteps.",775,6.2천
1월 13일,Tim Cook@tim_cook,"Martin Scorsese’s Killers of the Flower Moon is such a powerful story and we were so lucky to have had Lily Gladstone, Leonardo DiCaprio, and Robert De Niro bring it to life along with an incredible cast and crew. Enjoyed celebrating their brilliant work at the AFI Awards!",535,7.3천
1월 8일,Tim Cook@tim_cook,The era of spatial computing has arrived! Apple Vision Pro is available in the US on February 2.,9.3천,4.3만
1월 2일,Tim Cook@tim_cook,Wishing everyone a new year full of hope and happiness.,1.1천,1.5만
2023년 12월 26일,Tim Cook@tim_cook,Wishing everyone a day full of joy and the spirit of the season. Merry Christmas! ,942,1.3만
2023년 12월 14일,Tim Cook@tim_cook,"Congrats to the newest Apple Developer Academy graduates in Brazil, Korea, and Indonesia! The program is designed to help students prepare for careers in the iOS app economy and it’s incredible to see the accomplishments since we established the program in Brazil 10 years ago.",617,4.7천
2023년 12월 8일,Tim Cook@tim_cook,Happy Hanukkah to everyone celebrating around the world! May your Festival of Lights be filled with the love and warmth of family and friends. ,409,5천
2023년 12월 5일,Tim Cook@tim_cook,"A huge thank you to the incomparable David Hockney for helping us get into the spirit of the season! Your new artwork, Bigger Christmas Trees, created on iPad looks incredible on London’s Battersea Power Station. Happy holidays everyone!",498,5.1천
2023년 12월 4일,Tim Cook@tim_cook,"At Apple, we believe in making technology accessible to all. On this International Day of Persons with Disabilities and every day, we are proud to partner with the disability community as we strive for a more equitable world.",1천,8.7천
2023년 9월 28일,Tim Cook@tim_cook,.@LukasGraham lead singer Lukas Forchhammer welcomed me into his Copenhagen studio where I had the chance to listen to a few incredible songs in Spatial Audio. Thanks so much for spending the time—and for sharing your creativity in action.,322,4.5천
2023년 9월 27일,Tim Cook@tim_cook,"Europe's developers are tackling climate change creatively!
 @TooGoodToGo redistributes unsold food from restaurants
@myvytal created a reusable container system for takeout
 Min Strøm empowers people to adjust their electricity usage
 Bower rewards users for recycling",397,4.7천
2023년 9월 27일,Tim Cook@tim_cook,Thank you to @rasmusbrohave for showing me around Copenhagen and its beautiful historic canal in Nyhavn!,592,1.4만
2023년 9월 26일,Tim Cook@tim_cook,Great to connect with team members and customers at Apple Brussels!,595,1만
2023년 9월 26일,Tim Cook@tim_cook,"As a lifelong cycling fan, it was an honor to meet Jumbo-Visma’s Riejanne Markus and @RichardPlugge and celebrate the Netherlands’s favorite sport!  @Relivecc developer Lex Daniels has created an app that supports riders at every phase of their cycling journeys.",470,6.4천
2023년 9월 26일,Tim Cook@tim_cook,"iPhone is the best mobile gaming platform in the world, and we’re glad to have developers like @GameHouse in Eindhoven that create inclusive games driven by inspiring stories and strong characters. Congratulations Simonetta and team!",378,4.2천
2023년 9월 25일,Tim Cook@tim_cook,"Great meeting with the team at @NXP in the Netherlands, where they shared the work they’re doing as part of their commitment to decarbonize their entire Apple production footprint. NXP’s chips are in many of our products, including our new carbon neutral Apple Watch lineup!",377,4천
2023년 9월 25일,Tim Cook@tim_cook,"Thank you, Madrid, for an unforgettable visit!

In this beautiful photo, photographer @ereaazurmendi uses the 5x Telephoto on iPhone 15 Pro Max to capture the morning light as it pours through the windows at Palacio de Cristal in Madrid’s El Retiro Park. #SOiP",607,7.7천
2023년 9월 25일,Tim Cook@tim_cook,"What a match! Amazing to be at the derbi madrileño to see two of Spain’s best teams, @realmadrid and @atleti, go head to head! Great to watch with @IvanaAndresSanz, Enzo Alves Viera, and friends. ",717,9.1천
2023년 9월 25일,Tim Cook@tim_cook,"What an incredible honor to meet gold medalist @teresa_perales, Spain’s most decorated Paralympian. Teresa, thank you for a great discussion on our accessibilty features and the ways you use Apple Watch to train. We’ll be cheering you on in Paris 2024! ",568,5.7천
2023년 6월 10일,Tim Cook@tim_cook,What an incredible WWDC! Thank you to developers from around the world who joined us in person and virtually for a truly unforgettable week!,1천,1.1만
2023년 6월 7일,Tim Cook@tim_cook,The new MacBook Air is the world’s best — and thinnest — 15-inch laptop. It’s in a class all its own!,2.1천,1.5만
2023년 6월 6일,Tim Cook@tim_cook,Welcome to the era of spatial computing with Apple Vision Pro. You’ve never seen anything like this before!,5.6만,15만
2023년 6월 6일,Tim Cook@tim_cook,"Only minutes away from #WWDC23! 

Tune in ",2.3천,3.5만
2023년 6월 5일,Tim Cook@tim_cook,WWDC is always one of my favorite moments of the year — and this one is going to be our best ever! Tune in for our special event at 10 a.m. PT,4.2천,3.2만
2023년 6월 5일,Tim Cook@tim_cook,"As we get ready to kick off #WWDC23 tomorrow, I met with students from all over the world who are creating apps that turn iPhone into musical instruments and bring the experience of reading braille to iPad through haptic feedback. Excited for what's to come!",1.1천,1.3만
