dates,ID,content,rt,like
2024년 2월 27일,Aaron Levie@levie,"For context, Netflix could ship you their entire film catalog on a single disc.",69,434
2024년 2월 26일,Aaron Levie@levie,"Startups tend to win in spaces where the incumbent cannot respond effectively due to organizational, business model, or brand reasons. Perhaps the fact that AI has a long tail of brand risks and organizational dilemmas in resolving them, we’ll see more startup-led disruption.",165,894
2024년 2월 25일,Aaron Levie@levie,People’s understanding of business is funny. Being *unprofitable* is a far faster way to have a site run into the ground.,30,251
2024년 2월 25일,Aaron Levie@levie,How could you passionately hate people this much.,71,607
2024년 2월 24일,Aaron Levie@levie,We’re beta testing an AI feature internally at Box that was a concept we brainstormed about 5 years ago that would have been literally impossible to pull off back then. Pretty remarkable to see what’s now possible to solve with AI.,39,232
2024년 2월 23일,Aaron Levie@levie,The main job of a founder is taking an offhand comment made in a meeting for 7 seconds and pivoting the whole business model around it.,70,897
2024년 2월 22일,Aaron Levie@levie,This demo is insane. Try it: http://retellai.com,81,622
2024년 2월 22일,Aaron Levie@levie,"Given the incentives the public cloud providers have to bring on as many workloads as possible, it’s inevitable the price of AI tokens will eventually converge with the underlying GPU cost. This also means the value creation will entirely be at the app and workflow layer.",57,244
2024년 2월 22일,Aaron Levie@levie,Incredible time to be developing in AI right now. Google just dropped an open model that appears to perform extremely well. The race really is only beginning.,36,205
2024년 2월 20일,Aaron Levie@levie,Wow,32,170
2024년 2월 19일,Aaron Levie@levie,"There’s something like 1,000 different occupational titles that exist. Multiply that by about 75 distinct industries. And you quickly see that there are thousands of startup opportunities for AI assistants for almost any role out there. Some may be niche but many will be massive.",36,234
2024년 2월 17일,Aaron Levie@levie,AI is going to create so many jobs for lawyers,329,2.7천
2024년 2월 16일,Aaron Levie@levie,"No matter what you achieve in life, there’s no higher calling than files.",24,318
2024년 2월 16일,Aaron Levie@levie,"If anyone thought the rate of progress in AI was going to slow down, we’re now seeing daily examples of exactly the opposite.",48,311
2024년 2월 15일,Aaron Levie@levie,There is no greater case study in the power of executing on a long term vision than the fact that NVIDIA was worth $10B a decade ago and will soon be worth $2T.,119,932
2024년 2월 6일,Aaron Levie@levie,The use cases for AI are only beginning,12,62
2024년 2월 5일,Aaron Levie@levie,And yet nothing on high skill immigration,87,565
2024년 2월 5일,Aaron Levie@levie,The future has arrived,39,185
2024년 2월 4일,Aaron Levie@levie,"Apple’s advantage in any new computing category is an insanely large developer ecosystem and content partnerships. This is what makes the Vision Pro launch so powerful — we’re already seeing killer apps on day one, which builds a positive flywheel for more users and more apps.",34,318
2024년 2월 3일,Aaron Levie@levie,"This is such an incredibly exciting time to be building technology. There is a confluence of breakthrough technologies that we could only dream about a couple decades ago, coming together all at once. This creates an insane amount of opportunity for startups and developers.",91,642
2024년 2월 3일,Aaron Levie@levie,We literally now have minority report level technology for interacting with our data and content. The future will be wild.,9,117
2024년 2월 3일,Aaron Levie@levie,NVIDIA already up 37% this year. AI is definitely the craziest tech wave of all time.,38,498
2024년 2월 3일,Aaron Levie@levie,This is why you literally never bet against Zuck,116,1.9천
2024년 2월 2일,Aaron Levie@levie,"Box is coming to Vision Pro! Bring your content to life — it’s a pretty mindblowing new way to interact with your videos, 3D models, presentations, blueprints, images, and more.",35,280
2024년 1월 31일,Aaron Levie@levie,One thing that’s hard to comprehend from any 2D video you see of Vision Pro is the impact of the same experience in 3D. There’s quite literally no way to fully convey how crazy the technology is other than by just using it.,28,123
2024년 1월 30일,Aaron Levie@levie,This is a very good reminder that what looks powerful at the time is quite rudimentary in hindsight. And often the things we perceive as risks are just risky at the time because our other systems hadn’t yet adapted. Little reason to believe this doesn’t hold true going forward.,16,106
2024년 2023년 11월 29일,Aaron Levie@levie,We have reached a new level of AI,163,897
2023년 11월 27일,Aaron Levie@levie,“Sandwich shop monopoly” was not on my antitrust bingo card,99,686
2023년 11월 26일,Aaron Levie@levie,"The challenge with *some* of the AI risk discourse is it over-indexes on the bad things happening with few of the mitigating factors that will inevitably emerge. If we had the same conversation about the web in 1994, we would have predicted similarly  disastrous scenarios.",68,174
2023년 11월 25일,Aaron Levie@levie,Musicians have nothing to fear,88,428
2023년 11월 25일,Aaron Levie@levie,"World: how far should we go with AI? 

Tech industry:",83,381
2023년 11월 24일,Aaron Levie@levie,Everything moves faster in tech. Amazing to see.,34,116
2023년 11월 23일,Aaron Levie@levie,"If you talk to any enterprise, they have a near infinite set of needs from AI that can drive huge gains, but we’re in the early days of being able to deliver these cost effectively and at scale. Now’s a time to speed up progress in AI, not slow it down.",87,389
2023년 11월 23일,Aaron Levie@levie,"The problem we have in AI right now is not that it’s getting too powerful, it’s that it’s not nearly powerful enough. Very little has changed thus far because of AI, and won’t until models get faster, cheaper, more accurate, and more “intelligent”. Building safe AI is insanely…",114,605
2023년 11월 22일,Aaron Levie@levie,"The industry has an incredible opportunity to usher in a new era of computing. This will be done by insanely ambitious and high-execution operators like Sam and Greg, and ultimately boards that are aligned to a shared mission. Excited for this next chapter!",69,273
2023년 11월 22일,Aaron Levie@levie,Ok so can we all now agree to never do THAT again?,113,1.1천
2023년 11월 22일,Aaron Levie@levie,Insane situation. Fantastic conclusion.,55,473
2023년 11월 22일,Aaron Levie@levie,"Love that NVIDIA is basically like “y’all can keep doing whatever you want, we’re just going to keep selling more GPUs”",65,338
2023년 11월 22일,Aaron Levie@levie,Another day another new OpenAI feature. All is right in the world.,14,165
2023년 11월 22일,Aaron Levie@levie,"AI providers need a clear commitment to safety, unquestionably. But for enterprises —the real paying customers— to trust the AI that they’re incorporating into their businesses, they’re going to need ironclad guarantees that the AI models one day won’t disappear or be altered…",77,538
2023년 11월 21일,Aaron Levie@levie,"What’s remarkable here is that if Microsoft had acquired OpenAI, they would have probably gotten fewer employees to move over. Truly amazing.",71,678
2023년 11월 21일,Aaron Levie@levie,The board governing the roll out of super-intelligence couldn’t understand game theory enough to think 1 step ahead in a coup of their beloved leaders.,144,1.1천
2023년 11월 21일,Aaron Levie@levie,How did the OpenAI board literally not think even 1 step ahead let alone 3.,90,1.9천
2023년 11월 20일,Aaron Levie@levie,This weekend has been the craziest year in tech.,172,2.1천
2023년 11월 1일,Aaron Levie@levie,Literally no errors here,11,114
2023년 10월 30일,Aaron Levie@levie,"Biden’s AI Executive Order is the gold standard for how governments should be regulating AI right now. Thoughtful but scoped oversight focused on practical risks, emphasis on privacy and security, focus on R&D across the ecosystem, and encouraging use of AI in the government.",36,143
2023년 10월 29일,Aaron Levie@levie,Cars are so over,104,479
2023년 10월 29일,Aaron Levie@levie,"One area AI startups need to be careful of is not getting too hooked on temporary innovation budgets from customers. Ultimately software needs to be increasing revenue, lowering costs, reducing risk, or helping a company run better. If you don’t know which you are, find out fast.",79,439
2023년 10월 28일,Aaron Levie@levie,"What’s amazing about AI is we now effectively have a Moore’s Law for intelligence. For nearly any use case that AI cannot solve today because of cost or performance gaps, we know that it will only improve at an exponential rate.",114,930
2023년 10월 23일,Aaron Levie@levie,"A clear playbook for enterprise AI startups is to replicate and automate the processes that large companies normally try to outsource, but small companies can’t afford. If this works, the benefit will be millions of businesses having access to services never before possible.",100,694
2023년 10월 23일,Aaron Levie@levie,"Siri, please show me how to write a survey question to get a desired outcome from non-experts in your survey.",19,76
2023년 10월 22일,Aaron Levie@levie,"The most common concern with AI is that it makes tasks so efficient that it takes jobs. In practice, we’ll consume all that efficiency by dramatically increasing the quality of our output. That quality improvement will lead to even more demand and jobs for the surrounding work.",55,335
2023년 10월 21일,Aaron Levie@levie,Getting an allocation of GPU capacity,20,196
2023년 10월 20일,Aaron Levie@levie,Not on my bingo card,159,1.7천
2023년 10월 18일,Aaron Levie@levie,The US government will take every action possible to stay ahead in tech except for the most obvious: increase immigration.,50,257
2023년 10월 17일,Aaron Levie@levie,"Had my 4 year old give me a DALL-E 3 prompt today and he was so excited to see the results. But the best part was that he was completely unfazed by the request, as if it was a normal thing to do. Wild to think about the relationship future generations will have with tech.",31,236
2023년 10월 14일,Aaron Levie@levie,This is truly wild. AI with computer vision is going to change everything.,264,1.6천
2023년 10월 13일,Aaron Levie@levie,AI appears to be working,52,333
2023년 10월 11일,Aaron Levie@levie,"Today, Box is announcing Box Hubs, a revolutionary way to publish content in the enterprise. Instant customized portals for sales, marketing, HR, legal, R&D, and more. And with Box AI you can ask any question of all the documents in a Hub. http://box.com/hubs",36,131
2023년 8월 11일,Aaron Levie@levie,Seminal moment in transportation,44,410
2023년 8월 10일,Aaron Levie@levie,Some of the best ideas you’ll work on require years and years of debating and wandering through different approaches until enough things fall in place to make it all work. Don’t be afraid to punt on a problem until a better solution comes around.,38,314
2023년 8월 10일,Aaron Levie@levie,Shout out to all the startups that hadn’t fully pivoted to superconductors yet.,17,214
2023년 8월 8일,Aaron Levie@levie,This is why we can’t have nice things,392,4.4천
2023년 8월 7일,Aaron Levie@levie,Renting GPUs in the cloud has turned out to be the most insanely well-timed business ever.,79,784
2023년 8월 7일,Aaron Levie@levie,Dramatically increasing high skilled immigration quotas would cost nothing and solve this problem for decades to come.,57,422
2023년 8월 6일,Aaron Levie@levie,I don’t understand the perspective of not wanting safer transportation,31,381
2023년 8월 6일,Aaron Levie@levie,"The biggest product opportunities are when you can find a market where a small number of people have figured out how to solve an important problem, and you can design a simpler, more cost effective, and more scalable solution to that problem.",50,358
2023년 8월 5일,Aaron Levie@levie,Wow,20,463
2023년 8월 3일,Aaron Levie@levie,Free trillion dollar startup idea: Airbnb but for GPUs.,198,1.3천
2023년 8월 3일,Aaron Levie@levie,"If your company doesn’t have a Chief Superconductor Officer yet, it’s likely too late for you to avoid disruption.",80,716
2023년 8월 2일,Aaron Levie@levie,"Imagine just getting finished pivoting your startup from live audio to generative AI, only to find out you now have to pivot to superconductors. Startups are hard.",58,609
2023년 7월 31일,Aaron Levie@levie,"If you’re at all worried about AI taking over the world, just go to a Taylor Swift concert. AI won’t replace any of that.",46,358
2023년 7월 29일,Aaron Levie@levie,The dark art of designing an LLMs system prompt in a backend architecture will never not be funny. Senior engineers with decades of experience tweaking ways of saying “you are a helpful assistant” until the answers come back correctly is wild.,35,374
2023년 7월 27일,Aaron Levie@levie,Just a normal Wednesday,39,302
2023년 7월 24일,Aaron Levie@levie,Great work Dave ,30,635
2023년 7월 7일,Aaron Levie@levie,This is a real sentence out of Europe.,13,163
2023년 7월 7일,Aaron Levie@levie,"Ironically, Twitter’s move to defaulting to “For You” trains users on an algorithmic feed of content. But the network effects are less strong because an algorithmic feed is much easier to replicate than a follower graph, which makes the switching cost to a new platform low.",108,912
2023년 7월 6일,Aaron Levie@levie,Threads is exciting because it’s just your classic underdog story,10,95
2023년 7월 6일,Aaron Levie@levie,Total cage match energy here,3,119
2023년 7월 6일,Aaron Levie@levie,You will still be joining new social networks in 2023 is not a thing I would have believed 20 years ago,17,309
2023년 7월 3일,Aaron Levie@levie,The biggest unforced economic error ever,45,494
2023년 7월 3일,Aaron Levie@levie,"The power of AI is it’s a lever on human time and expertise. The real potential is not replacing stuff we already do, but solving the problems we could never get around to because our time is scarce and expertise not evenly distributed.",74,321
2023년 7월 2일,Aaron Levie@levie,"Just was rate limited for a few hours. In that time I got to inbox zero, wrote 6 blog posts, went on a bike ride, pivoted a company, read 2 books, and learned Japanese. Rate limits will save humanity.",159,1.3천
2023년 7월 1일,Aaron Levie@levie,They need mandatory drug tests for people working on captcha technology,29,363
2023년 7월 1일,Aaron Levie@levie,"Countries should be in a race to research, understand, enable safety measures around, and catalyze positive progress in AI. Not overly regulate AI. We’re only at the beginning stages of understanding what’s possible, and there’s way more upside to a flexible approach right now.",18,71
2023년 7월 1일,Aaron Levie@levie,"The problem with over regulating before we actually have a good sense of where AI is best applied and where the real risks truly exist, is you decide winners and losers too early in the market.",8,59
